[2015-07-27 20:31:44.805]  -------(1)--------
[2015-07-27 20:31:45.804]  -------(2)--------
[2015-07-27 20:31:46.804]  -------(3)--------
[2015-07-27 20:31:47.804]  -------(4)--------
[2015-07-27 20:31:48.804]  -------(5)--------
[2015-07-27 20:31:49.804]  -------(6)--------
[2015-07-27 20:31:50.804]  -------(7)--------
[2015-07-27 20:31:51.804]  -------(8)--------
[2015-07-27 20:31:52.804]  -------(9)--------
[2015-07-27 20:31:53.805]  -------(10)--------
[2015-07-27 20:31:54.806]  -------(11)--------
790A8256 04 C4 03
790A8256 04 BD 03
790A856F 04 C5 08
790A856F 04 C5 08
790A856F 04 CC 08
790A85FC 04 C9 07
790A85FC 04 CC 07
790A85FC 04 C3 07
790A855D 04 C8 01
790A855D 04 CD 01
790A855D 04 CD 01
790A8586 04 CD 09
790A8586 04 C6 09
790A8586 04 C4 09
790A8273 04 CB 07
790A8273 04 CD 07
790A8273 04 CD 07
790A85A3 04 C8 04
790A85A3 04 C9 04
790A85A3 04 CD 04
790A826F 04 BB 08
790A826F 04 C6 08
790A826F 04 C2 08
790A826A 04 C8 03
790A826A 04 BB 03
790A826A 04 C5 03
790A826D 04 C4 06
790A826D 04 C8 06
790A826D 04 C2 06
[2015-07-27 20:32:00.805]  -------(17)--------
790A8266 04 C3 06
790A8266 04 BB 06
790A8266 04 C6 06
790A85DF 04 CB 06
790A85DF 04 CC 06
790A8248 04 CC 0B
790A8248 04 CB 0B
790A8248 04 CF 0B
790A85D1 04 CF 05
790A85D1 04 C6 05
790A85D1 04 BD 05
790A826B 04 D2 0A
790A826B 04 C4 0A
790A826B 04 CB 0A
790A8267 04 C2 05
790A8267 04 CD 05
790A8267 04 D1 05
790A85CE 04 BB 05
790A85CE 04 C4 05
790A85CE 04 C2 05
790A85A0 04 D1 08
790A85A0 04 C5 08
790A85A0 04 CA 08
790A8256 04 C5 04
790A8256 04 C4 04
790A8256 04 C3 04
790A856F 04 C8 09
790A856F 04 D0 09
790A856F 04 C6 09
790A85B7 04 D2 05
790A85B7 04 BF 05
790A85B7 04 C7 05
790A85FC 04 D0 08
790A85FC 04 BE 08
790A85FC 04 BF 08
790A8586 04 D1 0A
790A8586 04 C4 0A
790A8586 04 CE 0A
790A855D 04 CA 02
790A855D 04 CD 02
790A855D 04 C8 02
790A8273 04 C6 08
790A8273 04 CB 08
790A8273 04 CA 08
790A85A3 04 CF 05
790A85A3 04 CB 05
790A85A3 04 C2 05
790A826F 04 C8 09
790A826F 04 B8 09
790A826F 04 CB 09
790A826A 04 C2 04
790A826A 04 CB 04
790A826A 04 BB 04
790A826D 04 CC 07
790A826D 04 C9 07
790A826D 04 C2 07
790A8266 04 B5 07
790A8266 04 CC 07
790A8266 04 BF 07
790A85DF 04 D1 07
790A85DF 04 CE 07
790A85DF 04 BB 07
790A85D6 04 C9 06
790A85D6 04 C5 06
790A85D6 04 CD 06
790A85D1 04 B9 06
790A85D1 04 CD 06
790A85D1 04 C4 06
790A8248 04 C3 00
790A8248 04 C8 00
790A8248 04 C9 00
790A826B 04 C5 0B
790A826B 04 C8 0B
790A826B 04 CC 0B
790A8267 04 D1 06
790A8267 04 C9 06
790A8267 04 BF 06
790A85CE 04 BE 06
790A85CE 04 BF 06
